""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	"0.252"	"0.198"	"0.319"	"<0.0001"
"round18"	"2.589"	"1.882"	"3.562"	"<0.0001"
"log10vl"	"1.323"	"1.256"	"1.393"	"<0.0001"
"comm_typeFishing"	"0.994"	"0.924"	"1.07"	"0.88"
"comm_typeTrading"	"1.026"	"0.937"	"1.124"	"0.58"
"age_cat(24,34]"	"0.939"	"0.861"	"1.024"	"0.16"
"age_cat(34,50]"	"0.976"	"0.889"	"1.07"	"0.6"
"sexM"	"0.966"	"0.902"	"1.034"	"0.32"
"round18:log10vl"	"0.811"	"0.757"	"0.87"	"<0.0001"
"round18:comm_typeFishing"	"1.059"	"0.953"	"1.178"	"0.29"
"round18:comm_typeTrading"	"1.005"	"0.884"	"1.143"	"0.94"
"round18:age_cat(24,34]"	"1.005"	"0.896"	"1.126"	"0.94"
"round18:age_cat(34,50]"	"0.909"	"0.798"	"1.035"	"0.15"
"round18:sexM"	"0.999"	"0.909"	"1.099"	"0.99"
