""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	"0.445"	"0.366"	"0.541"	"<0.0001"
"round18"	"1.758"	"1.337"	"2.313"	"<0.0001"
"log10vl"	"1.173"	"1.123"	"1.225"	"<0.0001"
"comm_typeFishing"	"1.024"	"0.963"	"1.088"	"0.46"
"comm_typeTrading"	"1.011"	"0.935"	"1.093"	"0.78"
"age_cat(24,34]"	"0.963"	"0.897"	"1.033"	"0.29"
"age_cat(34,50]"	"0.96"	"0.887"	"1.038"	"0.31"
"sexM"	"0.972"	"0.918"	"1.03"	"0.34"
"round18:log10vl"	"0.877"	"0.826"	"0.932"	"<0.0001"
"round18:comm_typeFishing"	"1.004"	"0.913"	"1.104"	"0.93"
"round18:comm_typeTrading"	"1.017"	"0.907"	"1.14"	"0.77"
"round18:age_cat(24,34]"	"1.008"	"0.912"	"1.114"	"0.88"
"round18:age_cat(34,50]"	"0.962"	"0.856"	"1.08"	"0.51"
"round18:sexM"	"1.003"	"0.922"	"1.092"	"0.94"
