""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.445071252351127	0.365852998275747	0.541442657578274	5.72900331186929e-16
"round18"	1.75827342487004	1.33677563615481	2.31267338586218	5.44403594551951e-05
"log10vl"	1.17288333392886	1.12304542206975	1.22493292610799	6.10853678489844e-13
"comm_typeFishing"	1.02361017756058	0.962760504294267	1.08830575302178	0.455493584073975
"comm_typeTrading"	1.01120064392754	0.935262221951805	1.09330487031279	0.779751270687647
"age_cat(24,34]"	0.962856475085213	0.897240607639891	1.03327087931536	0.293216029157347
"age_cat(34,50]"	0.959860758323644	0.88722893797755	1.03843848631654	0.307517200746011
"sexM"	0.972254355482191	0.918070733596708	1.02963584085813	0.336179731244942
"round18:log10vl"	0.877208651433115	0.825726957197826	0.93190008082145	2.18029852481713e-05
"round18:comm_typeFishing"	1.00423989428078	0.913455393103771	1.10404708634799	0.930259807390456
"round18:comm_typeTrading"	1.01684237788574	0.907219891336215	1.13971092492408	0.77413426404585
"round18:age_cat(24,34]"	1.00786426345889	0.911594114269437	1.1143011540521	0.878452414852597
"round18:age_cat(34,50]"	0.961586606771672	0.855937575281225	1.08027597926035	0.509488157888712
"round18:sexM"	1.00344267368183	0.922312995130117	1.09170878506779	0.93631898797731
