""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	"0.298"	"0.239"	"0.373"	"<0.0001"
"round18"	"2.187"	"1.608"	"2.975"	"<0.0001"
"log10vl"	"1.28"	"1.22"	"1.343"	"<0.0001"
"comm_typeFishing"	"1.011"	"0.941"	"1.086"	"0.76"
"comm_typeTrading"	"1.059"	"0.972"	"1.153"	"0.19"
"age_cat(24,34]"	"0.908"	"0.838"	"0.983"	"0.017"
"age_cat(34,50]"	"0.943"	"0.866"	"1.026"	"0.17"
"sexM"	"0.976"	"0.914"	"1.042"	"0.46"
"round18:log10vl"	"0.838"	"0.784"	"0.895"	"<0.0001"
"round18:comm_typeFishing"	"1.042"	"0.938"	"1.157"	"0.45"
"round18:comm_typeTrading"	"0.982"	"0.868"	"1.111"	"0.77"
"round18:age_cat(24,34]"	"1.039"	"0.932"	"1.158"	"0.49"
"round18:age_cat(34,50]"	"0.945"	"0.835"	"1.069"	"0.37"
"round18:sexM"	"0.993"	"0.905"	"1.089"	"0.87"
