""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.298153690746896	0.238555265317981	0.372641631646667	2.03337523183687e-26
"round18"	2.18678259352443	1.60764875254809	2.9745416116313	6.2108841119556e-07
"log10vl"	1.28011892413174	1.22020299450376	1.34297692048089	5.68165337666802e-24
"comm_typeFishing"	1.01096183997965	0.94137443178063	1.08569322406793	0.764466412426872
"comm_typeTrading"	1.05857257518826	0.972265946561885	1.15254051723529	0.189592296308905
"age_cat(24,34]"	0.907637503646585	0.83836432651917	0.982634651746442	0.0167372399418927
"age_cat(34,50]"	0.942824388523589	0.866340569215458	1.02606048842878	0.172581319205244
"sexM"	0.975962513599392	0.914454232363728	1.04160798238001	0.46381931896369
"round18:log10vl"	0.837550653921692	0.783542103811952	0.895281943971973	1.86306325590466e-07
"round18:comm_typeFishing"	1.04175176883264	0.937757642925544	1.15727848880044	0.445877418506702
"round18:comm_typeTrading"	0.981873255213799	0.868111378280782	1.11054308631849	0.770931266776042
"round18:age_cat(24,34]"	1.03882415420876	0.9321646530616	1.15768777524782	0.490759623521607
"round18:age_cat(34,50]"	0.945086986267745	0.835228659533874	1.06939507093916	0.370358940496189
"round18:sexM"	0.992505100125832	0.904743885045085	1.08877925571909	0.873457828095707
