""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	"0.421"	"0.346"	"0.512"	"<0.0001"
"round18"	"1.853"	"1.408"	"2.438"	"<0.0001"
"log10vl"	"1.192"	"1.142"	"1.244"	"<0.0001"
"comm_typeFishing"	"1.012"	"0.951"	"1.077"	"0.7"
"comm_typeTrading"	"1.035"	"0.96"	"1.115"	"0.37"
"age_cat(24,34]"	"0.946"	"0.883"	"1.014"	"0.11"
"age_cat(34,50]"	"0.976"	"0.906"	"1.051"	"0.51"
"sexM"	"0.951"	"0.898"	"1.006"	"0.082"
"round18:log10vl"	"0.864"	"0.814"	"0.918"	"<0.0001"
"round18:comm_typeFishing"	"1.026"	"0.932"	"1.129"	"0.6"
"round18:comm_typeTrading"	"1.007"	"0.9"	"1.125"	"0.91"
"round18:age_cat(24,34]"	"1.014"	"0.919"	"1.119"	"0.78"
"round18:age_cat(34,50]"	"0.944"	"0.844"	"1.057"	"0.32"
"round18:sexM"	"1.023"	"0.94"	"1.113"	"0.6"
