""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.420813334647988	0.345781159736547	0.51212698445595	5.69019574791157e-18
"round18"	1.85286204171752	1.40828628534772	2.4377839799739	1.05384686052575e-05
"log10vl"	1.1920668463231	1.14200343261334	1.24432495167799	1.00861673568475e-15
"comm_typeFishing"	1.01232498512485	0.951195011127279	1.07738356858444	0.699894510756616
"comm_typeTrading"	1.03472522686542	0.96016165919662	1.11507920031667	0.371012059896628
"age_cat(24,34]"	0.946080979462807	0.883097282639331	1.01355675903134	0.114824929319328
"age_cat(34,50]"	0.975536875004315	0.905584775199082	1.05089244050505	0.514144178099624
"sexM"	0.950575854196993	0.897848002559394	1.00640025038377	0.0817100967379635
"round18:log10vl"	0.864090758201295	0.813550664622038	0.917770546909665	2.02983669760102e-06
"round18:comm_typeFishing"	1.02591023301597	0.932219576688634	1.12901706049284	0.600609864054379
"round18:comm_typeTrading"	1.00662040369805	0.900420837118789	1.1253456110407	0.90765281223665
"round18:age_cat(24,34]"	1.01428346707373	0.91922176199147	1.11917601836394	0.777590356081164
"round18:age_cat(34,50]"	0.944420043264667	0.844069325646947	1.0567013763193	0.318420328312783
"round18:sexM"	1.02310465322244	0.940458815412777	1.11301325936955	0.595062071761357
