var	RR	LCI	UCI	P	corr	class	s
(Intercept)	0.005762436380571541	0.004434642653435388	0.007487790028450428	0	independence	nnrti	comm_type
round18	0.8648841082904645	0.6914004768596539	1.081897606103665	0.20379043592887958	independence	nnrti	comm_type
comm_typeFishing	3.3410837532931685	2.477168203906839	4.5062909450049515	2.7755575615628914e-15	independence	nnrti	comm_type
comm_typeTrading	1.042532811026491	0.7334751226212018	1.4818153043591449	0.8163965377908076	independence	nnrti	comm_type
(Intercept)	0.004422380801533914	0.0032499059379945327	0.0060178516938383594	0	independence	nnrti	age_cat
round18	0.8971802140512386	0.7167108295591033	1.1230921918400396	0.34370258086503636	independence	nnrti	age_cat
age_cat(24,34]	3.0443138763891233	2.1813297675195025	4.2487143007791515	5.918099343915628e-11	independence	nnrti	age_cat
age_cat(34,49]	1.9865801966628336	1.3873311090301967	2.8446712194983608	1.7885880525869702e-4	independence	nnrti	age_cat
(Intercept)	0.010008548707220158	0.00823906454860302	0.01215806074025514	0	independence	nnrti	sex
round18	0.894673878174384	0.7148865487491396	1.1196760516590372	0.33086840886880753	independence	nnrti	sex
sexM	0.7368474422649913	0.567337235858774	0.9570042628184087	0.02205347419202286	independence	nnrti	sex
(Intercept)	0.004051534969387759	0.002889036495919186	0.005681802784893252	0	independence	nrti	comm_type
round18	0.7389820138041755	0.5553870196880076	0.9832682388451333	0.037916547572883874	independence	nrti	comm_type
comm_typeFishing	3.188745999482616	2.1500608794559533	4.729215412630224	8.085089708842474e-9	independence	nrti	comm_type
comm_typeTrading	1.0782640564933235	0.6888870913990647	1.6877270456094595	0.7416732223241846	independence	nrti	comm_type
(Intercept)	0.0018157928879825	0.0011195689116236622	0.0029449762116618454	0	independence	nrti	age_cat
round18	0.765287742625501	0.5741213923302793	1.0201071355932245	0.06812090688486938	independence	nrti	age_cat
age_cat(24,34]	5.5456472336914935	3.3048491982310315	9.305781110076593	8.798162198786486e-11	independence	nrti	age_cat
age_cat(34,49]	3.6940606956947786	2.1615526764986774	6.313093625634499	1.7605035537160418e-6	independence	nrti	age_cat
(Intercept)	0.00715631839848125	0.005618176523279836	0.009115572073649204	0	independence	nrti	sex
round18	0.7635391211407524	0.5730345645215064	1.0173766568500118	0.06542790885516558	independence	nrti	sex
sexM	0.6781173791417291	0.47977555741581973	0.9584547874236602	0.027783528935181767	independence	nrti	sex
(Intercept)	4.0196953408871066e-4	1.4418512961018341e-4	0.001120639186387243	0	independence	pi	comm_type
round18	0.8380609092968001	0.40481521957025934	1.734979451703843	0.6341822162772524	independence	pi	comm_type
comm_typeFishing	5.3266982829775795	1.907808201455061	14.872414625451357	0.0014080476711075818	independence	pi	comm_type
comm_typeTrading	1.680440610930059	0.5291987146982499	5.336144190133138	0.37860735911316734	independence	pi	comm_type
(Intercept)	5.016006342054751e-4	2.3838915125076607e-4	0.0010554305634935077	0	independence	pi	age_cat
round18	0.8781928875005975	0.42283199162966395	1.823946065869373	0.7276063185837329	independence	pi	age_cat
age_cat(24,34]	2.806259655279652	1.0555165767838224	7.460890170807	0.03861527541434273	independence	pi	age_cat
age_cat(34,49]	1.4414445779412286	0.47979535033410026	4.330518146600086	0.5147380902831983	independence	pi	age_cat
(Intercept)	9.248417858785154e-4	4.91971762365975e-4	0.0017385801266184963	0	independence	pi	sex
round18	0.8722927101885073	0.42007454648678333	1.8113322471252158	0.714000786528898	independence	pi	sex
sexM	0.8756685287933862	0.3991184725744912	1.9212224565127316	0.7405066274796399	independence	pi	sex
