var	RR	LCI	UCI	P	corr	class	s
(Intercept)	0.055016877477866204	0.04046047945382393	0.07481020611406701	0	exchangeable	nnrti	sex
round16	1.1464889277325216	0.733133428455874	1.7929026428132386	0.5490187807680026	exchangeable	nnrti	sex
round17	1.4702205041969842	1.0298840295268163	2.098826925158132	0.03382968146730625	exchangeable	nnrti	sex
round18	2.032054856777754	1.3782903624541132	2.99591947635891	3.4380256844457335e-4	exchangeable	nnrti	sex
round19	1.7328246417562416	0.9306995008434652	3.2262628661092085	0.08300647121084759	exchangeable	nnrti	sex
sexM	0.7309357808187648	0.5253152354304261	1.017040968254759	0.06292729045740997	exchangeable	nnrti	sex
(Intercept)	0.051543008017145446	0.03455083233322857	0.0768919732477909	0	exchangeable	nnrti	age_cat
round16	1.1201819293230852	0.7147523379681912	1.7555837009907511	0.6205531554034212	exchangeable	nnrti	age_cat
round17	1.4398610165929728	1.0088696770122072	2.054972802080822	0.04457748448046617	exchangeable	nnrti	age_cat
round18	1.970817499290386	1.3358000702647042	2.907711791585344	6.283759469197792e-4	exchangeable	nnrti	age_cat
round19	1.696832228931199	0.9136562468088667	3.1513379601966935	0.09411677705792221	exchangeable	nnrti	age_cat
age_cat(24,34]	0.9396485897343256	0.634280179371054	1.3920338375782468	0.7562287398021129	exchangeable	nnrti	age_cat
age_cat(34,49]	0.9125729521930598	0.587101301393688	1.41847648965765	0.6843477860608699	exchangeable	nnrti	age_cat
(Intercept)	0.05631801923372954	0.03912871055127946	0.08105862027459577	0	exchangeable	nnrti	comm_type
round16	1.123877827906482	0.7166509341713888	1.7625057218689377	0.6109559910630891	exchangeable	nnrti	comm_type
round17	1.4324858275552041	1.0032812228608277	2.0453045461124595	0.04792956613947785	exchangeable	nnrti	comm_type
round18	1.9716613910670557	1.3373798672263675	2.9067647392410465	6.083523465783003e-4	exchangeable	nnrti	comm_type
round19	1.6662483269099628	0.8866943578234119	3.131161783577263	0.11266303070706996	exchangeable	nnrti	comm_type
comm_typeFishing	0.833015641205885	0.5798681151329012	1.196677382984943	0.3229008193449201	exchangeable	nnrti	comm_type
comm_typeTrading	0.7568806844175733	0.47679525436944736	1.2014976348747886	0.23744339462461528	exchangeable	nnrti	comm_type
(Intercept)	0.04884744983420551	0.03664168529230018	0.06511909417568819	0	exchangeable	nnrti	sequenced
round16	1.131218182645217	0.7314139223661236	1.7495627819162451	0.5794678983607235	exchangeable	nnrti	sequenced
round17	1.5119555496636556	0.6973487447274433	3.278143972356625	0.29509294074043446	exchangeable	nnrti	sequenced
round18	2.077900760866062	0.9455108206936621	4.56649620238101	0.06868374611161887	exchangeable	nnrti	sequenced
round19	1.7802446155270994	0.7044194627101245	4.49912453997231	0.22274727292790986	exchangeable	nnrti	sequenced
sequencedPANGEA2	0.9474446348321474	0.43960859867296675	2.0419330713319397	0.8904007886020981	exchangeable	nnrti	sequenced
(Intercept)	0.025379840336588987	0.015240015779652775	0.04226611735997985	0	exchangeable	nrti	sex
round16	0.705386805705093	0.24140954057943273	2.0611055572557846	0.523504910937525	exchangeable	nrti	sex
round17	1.1654277002798428	0.587784800888814	2.3107465904625966	0.6611279970435959	exchangeable	nrti	sex
round18	1.1705108217649975	0.527736855409802	2.59617187964834	0.6984830954305797	exchangeable	nrti	sex
round19	1.0140039742027114	0.2499814937197151	4.1131207130546175	0.9844698625345837	exchangeable	nrti	sex
sexM	0.4213698069505664	0.21360924174613186	0.8312023991011279	0.012654428899043446	exchangeable	nrti	sex
(Intercept)	0.014550319340493854	0.005895427345861495	0.03591118683855347	0	exchangeable	nrti	age_cat
round16	0.6626691705214476	0.2272576675613352	1.9323019296634523	0.45109586153694314	exchangeable	nrti	age_cat
round17	1.106174266862776	0.5628259024974294	2.1740675104678373	0.769751676412129	exchangeable	nrti	age_cat
round18	1.0938841667526291	0.49532926651240566	2.415731617671586	0.8243201177892551	exchangeable	nrti	age_cat
round19	0.9689663743070439	0.24418708625408594	3.844985617137762	0.9642430364628327	exchangeable	nrti	age_cat
age_cat(24,34]	1.7255961820774477	0.692737895425329	4.298425426505676	0.24135273665318202	exchangeable	nrti	age_cat
age_cat(34,49]	0.7866527663656386	0.2676408448078189	2.312138026895937	0.6626618836505329	exchangeable	nrti	age_cat
(Intercept)	0.017565655376355432	0.008861493402348335	0.03481944123764925	0	exchangeable	nrti	comm_type
round16	0.700184584350263	0.23705842044369385	2.0680912799644546	0.5189306713868186	exchangeable	nrti	comm_type
round17	1.1368114566373606	0.5732111879601136	2.25456221910289	0.7135910208295968	exchangeable	nrti	comm_type
round18	1.09001753896572	0.49455571034831003	2.402435580849107	0.8307297929446428	exchangeable	nrti	comm_type
round19	0.9014814763334936	0.24408564335107033	3.3294414248016513	0.8763575937712922	exchangeable	nrti	comm_type
comm_typeFishing	0.793203748567394	0.3701447977033034	1.6998001610323603	0.5513398453273175	exchangeable	nrti	comm_type
comm_typeTrading	1.808279177358874	0.8393104275437293	3.8959048713824322	0.13036858879868196	exchangeable	nrti	comm_type
(Intercept)	0.02036010232177497	0.012565295224548698	0.03299037222327063	0	exchangeable	nrti	sequenced
round16	0.756246714248733	0.28860606878769285	1.981625317909437	0.5697301942654326	exchangeable	nrti	sequenced
round17	4.128775917066372	0.12385865621201114	137.63099887155204	0.42803346617551774	exchangeable	nrti	sequenced
round18	4.067781139266696	0.1168699506643127	141.58338651568016	0.4385173353564946	exchangeable	nrti	sequenced
round19	3.6403088878841396	0.08669102873111645	152.86297778643967	0.4980430257245818	exchangeable	nrti	sequenced
sequencedPANGEA2	0.24599381294394188	0.007129082373568908	8.488183027741556	0.43760940308688656	exchangeable	nrti	sequenced
(Intercept)	0.020985001070461032	0.013638807478858553	0.0322880332910239	0	ar1	pi	sex
round16	0.7587234445192116	0.3493535228762163	1.6477900681341253	0.4853020005635811	ar1	pi	sex
round17	0.6532333325215128	0.3358965120533683	1.2703727827020834	0.2095585343510541	ar1	pi	sex
round18	0.9538758338260737	0.49051475326790633	1.8549474817945695	0.8893228950605686	ar1	pi	sex
round19	0.3944422975169055	0.06896224641947875	2.2560855272033202	0.29577649802004513	ar1	pi	sex
sexM	0.9755971420573026	0.5420011570132709	1.7560659627283273	0.9343438302439707	ar1	pi	sex
(Intercept)	0.024108886483395743	0.012456459757599986	0.046661605205655175	0	ar1	pi	age_cat
round16	0.7531162591309744	0.3468157452622407	1.635404699802667	0.473581583533247	ar1	pi	age_cat
round17	0.6621685133403423	0.34312232436794105	1.2778741251157322	0.21908268737623782	ar1	pi	age_cat
round18	0.9525501067196305	0.48918961244508735	1.8548057496078412	0.8863082559646105	ar1	pi	age_cat
round19	0.3962127646637818	0.0672269473893884	2.3351432867126865	0.3063435643593062	ar1	pi	age_cat
age_cat(24,34]	0.9223544109516806	0.4696390318624101	1.8114713677615746	0.8144401990422887	ar1	pi	age_cat
age_cat(34,49]	0.6579193908561138	0.30189990218230556	1.433779612830394	0.29215833685325165	ar1	pi	age_cat
(Intercept)	0.020852451025010432	0.011578964955647015	0.03755298642115644	0	ar1	pi	comm_type
round16	0.7600260679426994	0.3512466028164184	1.6445415253008107	0.48594082308835684	ar1	pi	comm_type
round17	0.652417271695386	0.3365068046798249	1.2649024937592015	0.20612581629193916	ar1	pi	comm_type
round18	0.9472973162044468	0.49112840023448145	1.827164148641601	0.8716679943543113	ar1	pi	comm_type
round19	0.3910847846586007	0.07061993857611798	2.165780824442508	0.28235066167539624	ar1	pi	comm_type
comm_typeFishing	0.9737206108116058	0.47134462046835557	2.0115469377314787	0.9426490513268314	ar1	pi	comm_type
comm_typeTrading	1.0451109646546777	0.4605365384786359	2.3717052550263618	0.9159559951889564	ar1	pi	comm_type
