var	RR	LCI	UCI	P	corr	class
(Intercept)	0.04864276503615988	0.03686612291005561	0.06418137855547797	0	exchangeable	nnrti
round16	1.1218993806857334	0.7157216787464218	1.758586134469976	0.6159825921770508	exchangeable	nnrti
round17	1.4392040304622344	1.0088618923342347	2.0531137681355873	0.04457548091782304	exchangeable	nnrti
round18	1.9762147408525137	1.3405880408551267	2.91321762013601	5.810666934283892e-4	exchangeable	nnrti
round19	1.6936849847277922	0.9113397759931966	3.147639226397374	0.09564241191943212	exchangeable	nnrti
(Intercept)	0.01904130140222881	0.011656804700212174	0.03110382033628146	0	exchangeable	nrti
round16	0.6690276961080239	0.2330720699187373	1.9204276956722846	0.4550217158926497	exchangeable	nrti
round17	1.0968675148232405	0.5588560317886012	2.1528234046682275	0.7881321607476475	exchangeable	nrti
round18	1.0776932389002907	0.48817164518647094	2.3791277691430865	0.8530838616056077	exchangeable	nrti
round19	0.9569908135776405	0.24198682781631028	3.7846333436264237	0.950030856612877	exchangeable	nrti
(Intercept)	0.020755146283931953	0.014344162532849975	0.030031456788145127	0	ar1	pi
round16	0.7590808274712151	0.3517266243165374	1.6382146326114582	0.4824830800846003	ar1	pi
round17	0.6529443785592499	0.33673054458304497	1.2661054019320819	0.20708295967435386	ar1	pi
round18	0.9513488205121898	0.4930676549977283	1.8355788888526963	0.8817646066180287	ar1	pi
round19	0.39420832626577057	0.06983053707496928	2.225390366544429	0.2918270481387185	ar1	pi
