var	RR	LCI	UCI	P	corr	class	s
(Intercept)	0.5423271298151761	0.45630945134933937	0.644559771584474	3.802402837038699e-12	exchangeable	nnrti	sex
round18	1.12729407416661	0.8909571341060583	1.4263221888067634	0.318208030285566	exchangeable	nnrti	sex
sexM	0.7382441662444494	0.5845208381345097	0.9323952431419494	0.010847748642638155	exchangeable	nnrti	sex
(Intercept)	0.48097270803327313	0.39968510623342457	0.5787925100660514	9.2148511043888e-15	exchangeable	nnrti	age_cat
round18	0.967176645220379	0.9301382223355331	1.0056899508020698	0.09390022632843176	exchangeable	nnrti	age_cat
age_cat(24,34]	1.102743622107837	0.9269442664389501	1.3118841554209046	0.2696858162307125	exchangeable	nnrti	age_cat
age_cat(34,49]	1.0923417532261497	0.8855905855145083	1.3473613262814328	0.4093543176893022	exchangeable	nnrti	age_cat
(Intercept)	0.5228465094437653	0.4258160087077249	0.6419873063653798	5.963516347406994e-10	exchangeable	nnrti	comm_type
round18	1.0391032145971468	0.947437721873273	1.1396374301534795	0.4156091877699989	exchangeable	nnrti	comm_type
comm_typeFishing	0.8943188749825093	0.6939840224528278	1.1524851066788737	0.388038581927979	exchangeable	nnrti	comm_type
comm_typeTrading	1.0822973232443371	0.8135776928451284	1.4397733691609922	0.5870489946996447	exchangeable	nnrti	comm_type
(Intercept)	0.5368705718080089	0.4485733058691796	0.6425482905519058	1.1639134100960291e-11	independence	nrti	sex
round18	0.7388602195462685	0.5834086803361349	0.935732433246327	0.012035243788661387	independence	nrti	sex
sexM	0.8237906646525056	0.6238669542678765	1.0877817049390082	0.17171621159967576	independence	nrti	sex
(Intercept)	0.33936361099231377	0.22389963575988492	0.5143718080419339	3.522066908123733e-7	independence	nrti	age_cat
round18	0.7039643501198969	0.5556140468714624	0.891924545518869	0.0036467312021248866	independence	nrti	age_cat
age_cat(24,34]	1.6231158511314712	1.0303990525280495	2.556781336056715	0.03669599151058767	independence	nrti	age_cat
age_cat(34,49]	1.5571175405113435	0.9800683589971118	2.4739244081394136	0.060829623827972634	independence	nrti	age_cat
(Intercept)	0.5431739272032746	0.42709979151939226	0.690793863756855	6.501370723999145e-7	independence	nrti	comm_type
round18	0.7398406227722834	0.5836086098673975	0.9378959423310211	0.012783585116765472	independence	nrti	comm_type
comm_typeFishing	0.8575449518922764	0.6333057044151844	1.1611822527242261	0.3203691581784235	independence	nrti	comm_type
comm_typeTrading	0.9414727237212194	0.6668376306958647	1.329215462219937	0.7318057941061122	independence	nrti	comm_type
(Intercept)	0.03638312201870344	0.014774130050686615	0.08959793661531652	5.743183706385935e-13	exchangeable	pi	sex
round18	0.6659519327857976	0.17776117955552598	2.4948753034270283	0.5463217567422671	exchangeable	pi	sex
sexM	0.7435656017636193	0.18213788585709703	3.0355562848680653	0.6797265339468309	exchangeable	pi	sex
(Intercept)	0.03864049721206113	0.011643167831963284	0.12823726724065765	1.0622909440982653e-7	exchangeable	pi	age_cat
round18	0.6613154825512089	0.15952640807981391	2.7414781836191673	0.5687061214176163	exchangeable	pi	age_cat
age_cat(24,34]	0.824257385607927	0.12796398274044318	5.309308316132065	0.8388530626410027	exchangeable	pi	age_cat
age_cat(34,49]	0.7952742056937807	0.123415460019371	5.124650203002155	0.8095754296340856	exchangeable	pi	age_cat
(Intercept)	0.028599846220720693	0.0056981428784062356	0.14354698035891514	1.5729716994483667e-5	exchangeable	pi	comm_type
round18	0.6480315193527961	0.18291861954649868	2.295801548884648	0.5014567841236095	exchangeable	pi	comm_type
comm_typeFishing	1.1729359782229083	0.24204143632883446	5.684063149999718	0.8429662975206248	exchangeable	pi	comm_type
comm_typeTrading	1.2881058021111458	0.18421963953571582	9.006730018656425	0.7986096440091925	exchangeable	pi	comm_type
