var	RR	LCI	UCI	P	corr	class
(Intercept)	3.787724687047618e-4	1.6163521648403576e-4	8.87607206953379e-4	0	exchangeable	nnrti_nrti_pi
round18	0.7718568154582364	0.34299021455907397	1.7369677567484083	0.5314782652421024	exchangeable	nnrti_nrti_pi
(Intercept)	0.005403735445941359	0.004295316087848935	0.006798185784819947	0	independence	nnrti_nrti
round18	0.8162866167023398	0.6000398466062238	1.1104659871773943	0.19611598618493964	independence	nnrti_nrti
(Intercept)	5.805543987569991e-23	NA	NA	NA	independence	nnrti_pi
round18	2054933019883193900	NA	NA	NA	independence	nnrti_pi
(Intercept)	0.0033397503291275163	0.0025225523836667663	0.004421685088931263	0	independence	nnrti
round18	0.9662020809459838	0.666722192425613	1.400203070829244	0.8558659773257433	independence	nnrti
(Intercept)	6.243544140123465e-5	8.796126884946477e-6	4.4317054471306957e-4	0	exchangeable	nrti_pi
round18	0.9362763701611352	0.05858329811541282	14.963538577072377	0.9628599510492493	exchangeable	nrti_pi
(Intercept)	1.2393613594777268e-4	3.08985431026251e-5	4.971161825542455e-4	0	independence	nrti
round18	4.2303123487811975e-19	1.0546784210849539e-19	1.6967771607426502e-18	0	independence	nrti
(Intercept)	4.978618638129883e-4	2.4388919476793912e-4	0.0010163075722775992	0	independence	pi
round18	0.8411323570504591	0.30060170139029896	2.3536248757243183	0.7417463975823917	independence	pi
