""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.00242004572139127	0.00113896298887956	0.00514206462440504	2.59440368722666e-55
"round16"	1.65965470586797	0.617546733117779	4.46031627242753	0.315197290079318
"round17"	115.738978580835	52.2093137892202	256.573208700186	1.30595903371965e-31
"round18"	263.12614137238	119.510502173574	579.324536457571	1.48210554473021e-43
"round19"	428.086256327171	128.299662732749	1428.3579469569	6.4564702434923e-23
"missing_vlTRUE"	98.4632992647702	47.2733266707968	205.084388700167	1.48521504300174e-34
"log10vl"	2.88899825506954	2.50331711042998	3.33410053525391	1.03010289300132e-47
"comm_typeFishing"	0.901161301644874	0.660177250549221	1.23011159640336	0.512146653188315
"comm_typeTrading"	1.0052140780363	0.805387560009756	1.25462000266075	0.963318257111651
"age_cat(24,34]"	0.917791088955366	0.751002030996118	1.12162211046035	0.401845967649931
"age_cat(34,50]"	0.885870532075534	0.708891578870173	1.10703332214857	0.286546037628324
"sexM"	1.09705192113938	0.937319389951804	1.28400514336687	0.248620460660371
"round16:log10vl"	0.974876254161295	0.80063986681337	1.18703021211045	0.800051424146304
"round17:log10vl"	0.443863948822095	0.380911689279944	0.517220160495392	2.27233869030847e-25
"round18:log10vl"	0.376895037166731	0.323599992159623	0.438967467498708	4.26312154880074e-36
"round19:log10vl"	0.279971155974499	0.218845462051065	0.358169858506855	4.07671490678914e-24
"round16:comm_typeFishing"	0.595888969501426	0.403012629546995	0.881073291357152	0.0094727662195427
"round17:comm_typeFishing"	1.14343041624442	0.829522253549244	1.57612783888416	0.413050962850626
"round18:comm_typeFishing"	1.13252678714519	0.82032855059698	1.56354051394163	0.449447068548657
"round19:comm_typeFishing"	1.38358791831527	0.885398039689477	2.16209596350514	0.153999240641495
"round16:comm_typeTrading"	0.98290189191012	0.705244809474392	1.36987343421997	0.918897469697449
"round17:comm_typeTrading"	1.03084590247778	0.809039487410996	1.31346280520349	0.805872325075782
"round18:comm_typeTrading"	1.00615132253085	0.79062877984432	1.28042452999233	0.960233197199917
"round19:comm_typeTrading"	0.925628516783715	0.604668362735664	1.41695548152529	0.72203709792579
"round16:age_cat(24,34]"	0.822601845773326	0.593662096903385	1.13982987999284	0.240599662109024
"round17:age_cat(24,34]"	1.07976840807244	0.866037967035937	1.34624561445227	0.495268554560994
"round18:age_cat(24,34]"	0.986130828652832	0.793997086495569	1.22475765687202	0.899483630322008
"round19:age_cat(24,34]"	1.06970016164096	0.708464751800136	1.61512401697792	0.748584695682061
"round16:age_cat(34,50]"	0.824768664701766	0.576694090284769	1.17955665184298	0.291269209180935
"round17:age_cat(34,50]"	1.12227918184573	0.878658986586559	1.43344640097212	0.355521866098847
"round18:age_cat(34,50]"	1.01537201425442	0.795719713466689	1.2956576416078	0.902378415735011
"round19:age_cat(34,50]"	1.09950882942305	0.699160569955807	1.72910160831248	0.681309537549899
"round16:sexM"	0.787959393263812	0.605834461340691	1.02483441443507	0.0755618346128224
"round17:sexM"	0.86802534705341	0.730131607537448	1.0319619029622	0.108820501677767
"round18:sexM"	0.895858665726788	0.752723049575512	1.06621253249834	0.215663303046494
"round19:sexM"	0.812268604891204	0.588610816437607	1.12091091102442	0.205748230293328
