var	RR	LCI	UCI	P	corr	class
(Intercept)	0.005564546330514344	0.004150687670255609	0.007460011044997227	0	independence	nnrti
round16	0.7129501618404959	0.43786511987687443	1.1608550446112726	0.17373856638786989	independence	nnrti
round17	0.5368089720522639	0.3600267765207599	0.8003956685127058	0.002270279716019119	independence	nnrti
round18	0.4449154423491299	0.29276038410549626	0.6761493753519284	1.4907526851259956e-4	independence	nnrti
round19	0.21399830635508957	0.10671614879604731	0.4291316322740367	1.4054367415750058e-5	independence	nnrti
(Intercept)	0.002350659927982741	0.0014798570327084544	0.003733875621019142	0	independence	nrti
round16	0.41213987882035835	0.15767072098476811	1.077303881488999	0.07059462587824783	independence	nrti
round17	0.3750942311006432	0.1872293776102542	0.7514615708324456	0.005675795244381887	independence	nrti
round18	0.20527942084631373	0.08914918758216123	0.47268675986712105	1.9859225675133985e-4	independence	nrti
round19	0.11155394432821855	0.02551216153333848	0.4877784455433733	0.00357212483368341	independence	nrti
(Intercept)	0.0024631685057242333	0.001703243417614184	0.0035621444503160763	0	independence	pi
round16	0.42845613201139193	0.19045479692680775	0.9638752082926612	0.04047106634273667	independence	pi
round17	0.21462574556839134	0.10075778837683609	0.4571776673829602	6.645534039007028e-5	independence	pi
round18	0.21002292867033592	0.10172807428518359	0.4336033182306043	2.451035236927801e-5	independence	pi
round19	0.046258208740166215	0.006296670345301696	0.33983387385770203	0.0025217140045759034	independence	pi
