""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.375312247966169	0.304003115479968	0.463348157636566	7.85248322372065e-20
"round16"	0.521286846860982	0.343919678213048	0.790126282166182	0.0021399234681556
"round17"	1.95184677318381	1.49777791830384	2.54357190036715	7.41419583773685e-07
"round18"	2.32940438751432	1.76838547700122	3.06840610892848	1.80034865105452e-09
"round19"	4.04414813517911	1.59814305463364	10.2338361336632	0.00318066039376684
"missing_vlTRUE"	1.85897091825863	1.51842933105027	2.27588653898108	1.90566749038372e-09
"log10vl"	1.20375759755811	1.1559007292291	1.25359584697664	3.26046856720113e-19
"comm_typeFishing"	1.01498933023828	0.934377161827108	1.1025562081195	0.724553615821228
"comm_typeTrading"	0.964208348990346	0.895324912575039	1.03839145678276	0.335153103375696
"age_cat(24,34]"	1.01213425488604	0.954485927370382	1.07326438299199	0.686870525131289
"age_cat(34,50]"	0.957601157685527	0.895578268272713	1.02391941574159	0.204766894766
"sexM"	1.07625262928856	1.03099363679945	1.12349842007401	0.000801010445727364
"round16:log10vl"	1.1485916619075	1.04974819077817	1.25674215720771	0.00254932680180424
"round17:log10vl"	0.872129459292196	0.826486666390848	0.92029287911779	6.08212039914501e-07
"round18:log10vl"	0.842586159727213	0.795559639227711	0.892392476386857	5.0538342015698e-09
"round19:log10vl"	0.619510450709145	0.506644755567296	0.757519335432792	3.06692192712291e-06
"round16:comm_typeFishing"	0.711373381963973	0.612905808041044	0.825660455371265	7.45890061840236e-06
"round17:comm_typeFishing"	1.03789449635157	0.939119608409764	1.14705834689254	0.466036016147628
"round18:comm_typeFishing"	0.979740715678016	0.876061824086989	1.09568964605626	0.719858684350822
"round19:comm_typeFishing"	1.3505049263405	0.985772877219501	1.85018638493524	0.0613795855302557
"round16:comm_typeTrading"	1.17419341073188	1.01332479814922	1.36060043958692	0.0326762641756659
"round17:comm_typeTrading"	1.09412553736781	0.991780754213923	1.20703158075417	0.0726133179416304
"round18:comm_typeTrading"	1.04995741806713	0.940335003302254	1.172359399451	0.386217724497168
"round19:comm_typeTrading"	0.951889469969322	0.657083210060264	1.37896319547623	0.794296227514122
"round16:age_cat(24,34]"	0.752226525265466	0.657125807398123	0.861090431911978	3.64900575432977e-05
"round17:age_cat(24,34]"	0.980928039102749	0.902976066900177	1.06560943658359	0.648535703885416
"round18:age_cat(24,34]"	0.931888001256714	0.847402114305577	1.02479712078353	0.145722401335853
"round19:age_cat(24,34]"	0.914417286502269	0.652450369895605	1.28156716960397	0.60341967798843
"round16:age_cat(34,50]"	0.715736153235978	0.611691750721817	0.837477766284293	3.00701336946313e-05
"round17:age_cat(34,50]"	1.04441264410604	0.950543202323173	1.14755201920607	0.365803015287963
"round18:age_cat(34,50]"	0.996897338492607	0.893873092556489	1.11179574793033	0.955474319132554
"round19:age_cat(34,50]"	0.986052323244033	0.681722632972949	1.42623867412883	0.9405426254465
"round16:sexM"	0.810399637626794	0.719826489589992	0.912369275323166	0.000507789474930982
"round17:sexM"	0.88246303041885	0.826591374613505	0.94211120993144	0.000179040188542778
"round18:sexM"	0.912489080816611	0.843290614315997	0.987365812537716	0.0228488229635683
"round19:sexM"	0.845703261617975	0.643550916519079	1.11135574257251	0.22919797146833
