""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.0164695867281084	0.00149358633202072	0.181608040445647	0.000799698370273676
"round16"	4.17297200522973	0.272920299142706	63.8050574146764	0.304554826360142
"round17"	10.4679092282972	0.818875238176102	133.814186219543	0.0708770016409971
"round18"	38.7051988833541	3.31025978554535	452.560378234241	0.00356734662021586
"round19"	149.981008723637	6.48876970794927	3466.65145939798	0.00176547521990028
"missing_vlTRUE"	28.450291637589	2.60841466697857	310.310743345669	0.00602549120974563
"log10vl"	2.15004368273007	1.3133433772054	3.51978615636978	0.00233604966996265
"age_cat(24,34]"	1.67870145356951	0.968504807917148	2.90967948447961	0.0649026852838558
"age_cat(34,50]"	1.47885187698255	0.834377651649611	2.62111871013204	0.180280468279756
"sexM"	0.690432332989051	0.465211781910356	1.02468773357198	0.0659300158675855
"round16:log10vl"	0.742135735076774	0.42805108033406	1.2866816008223	0.288154022603044
"round17:log10vl"	0.660277663277395	0.392192460032791	1.11161390656671	0.118327340545284
"round18:log10vl"	0.521516648405859	0.31282697000959	0.869425083636948	0.0125407996965148
"round19:log10vl"	0.315276908234363	0.160766609697908	0.61828466155129	0.000781764976884228
"round16:age_cat(24,34]"	0.58721552683011	0.266744150269903	1.29270716752911	0.186075236347908
"round17:age_cat(24,34]"	0.644206625906363	0.34976432363251	1.18651946130931	0.158204089662337
"round18:age_cat(24,34]"	0.533527938753174	0.303024700723473	0.939369169412931	0.0295052825082477
"round19:age_cat(24,34]"	0.89584726720542	0.381906859126168	2.10140851619082	0.800393988696062
"round16:age_cat(34,50]"	0.717536386343598	0.31392537715476	1.64006640811715	0.431291761621414
"round17:age_cat(34,50]"	0.73727532960382	0.388448573437979	1.39934845642884	0.351208434063543
"round18:age_cat(34,50]"	0.595976336223442	0.328498250877676	1.08124713720494	0.0885797716627336
"round19:age_cat(34,50]"	0.795452942565091	0.304016230945263	2.0812881663196	0.640983232691297
"round16:sexM"	1.44009597416322	0.805031079953084	2.5761445321117	0.21903888460012
"round17:sexM"	1.2228086021759	0.778983930781141	1.91950156925058	0.381940087294935
"round18:sexM"	1.30098778227135	0.842136985124116	2.00985022569681	0.235732526373885
"round19:sexM"	1.2876705059922	0.66335684724294	2.49955259962059	0.454991529371846
