c	RR	LCI	UCI	P	var
independence	2.320611438151469	1.4865577900487732	3.6226223312197914	2.116316581566302e-4	round16
independence	3.728528772329208	2.6002545931865684	5.346371406289941	8.25894908018654e-13	round17
independence	3.9981234725251067	2.6744722359299273	5.976876890628165	1.424338424982352e-11	round18
independence	7.878477280504759	4.934080593291481	12.579933198461005	0	round19
exchangeable	2.246987126638506	1.458935321799849	3.4607093761020304	2.3872120902457272e-4	round16
exchangeable	3.7451801431139846	2.6627836666077545	5.267560590922559	3.26405569239796e-14	round17
exchangeable	3.9177647284540233	2.6734925276661383	5.741134605271346	2.4924506902834764e-12	round18
exchangeable	7.607901925871506	4.84531519413814	11.94559474349631	0	round19
ar1	2.259282144446352	1.4665626368139448	3.4804894656958805	2.183733461381676e-4	round16
ar1	3.7626316692495463	2.671018197027133	5.300374626498964	3.4638958368304884e-14	round17
ar1	3.902335033015059	2.6537853086420484	5.738300931995503	4.48607817560287e-12	round18
ar1	7.5857668037916035	4.810493762130799	11.962152088108674	0	round19
unstructured	2.268798218385557	1.4732340520241922	3.4939766350614803	2.002459059246009e-4	round16
unstructured	3.7624852336167893	2.669093612989221	5.303783675586487	3.8968828164342995e-14	round17
unstructured	3.885167434633461	2.6383590746240744	5.721179554487701	6.27697893662571e-12	round18
unstructured	7.570445605960005	4.794090593520654	11.954644067481214	0	round19
