round	coefficient	std.err	class	corr
(Intercept)	-3.0011580949514567	0.14851154424131352	nnrti	independence
round16	0.3900107599940219	0.24282373165406373	nnrti	independence
round17	0.3631074262486206	0.20021053673358197	nnrti	independence
round18	0.6748688139167407	0.2074570253133546	nnrti	independence
round19	0.5675527788923895	0.3402932708644461	nnrti	independence
(Intercept)	-2.978151315960379	0.1413307473694859	nnrti	exchangeable
round16	0.37904691287106695	0.2194964636564758	nnrti	exchangeable
round17	0.3684972106115468	0.17695673078474966	nnrti	exchangeable
round18	0.6423723359674872	0.196918412156603	nnrti	exchangeable
round19	0.5720327399715294	0.3168654441045552	nnrti	exchangeable
(Intercept)	-2.979282042868631	0.14129300549176926	nnrti	ar1
round16	0.3734806803732186	0.21765232898093628	nnrti	ar1
round17	0.3662558337599082	0.17725030867594116	nnrti	ar1
round18	0.665650318268343	0.19542038296328096	nnrti	ar1
round19	0.5685265478599196	0.3190109059115579	nnrti	ar1
(Intercept)	-2.9750093235956703	0.1398793805392154	nnrti	unstructured
round16	0.3912207620496733	0.21627955835881565	nnrti	unstructured
round17	0.35262667079751125	0.17510225056036807	nnrti	unstructured
round18	0.6025116332332004	0.20204538096503172	nnrti	unstructured
round19	0.5572760784285371	0.3190281457783743	nnrti	unstructured
(Intercept)	-4.087730601118962	0.22716730932469886	nrti	independence
round16	-0.1226224074275689	0.5027672057561071	nrti	independence
round17	0.10023373510279752	0.3497094734804532	nrti	independence
round18	0.050506431631819455	0.4180970861482068	nrti	independence
round19	-0.017799805234993717	0.7447386855135104	nrti	independence
(Intercept)	-4.098080860945812	0.22873753285825338	nrti	exchangeable
round16	-0.12295990324524741	0.5154829361340802	nrti	exchangeable
round17	0.06508912334575497	0.3533884595968448	nrti	exchangeable
round18	0.10801478983122774	0.3973907207006006	nrti	exchangeable
round19	0.019149119619894916	0.7174983655966203	nrti	exchangeable
(Intercept)	-4.10081973194144	0.22964228881055337	nrti	ar1
round16	-0.12134319267434071	0.518273722603856	nrti	ar1
round17	0.06183327753203353	0.3565883111400649	nrti	ar1
round18	0.10569670055404164	0.40032191671933887	nrti	ar1
round19	0.015556212910935011	0.722908947386925	nrti	ar1
(Intercept)	-4.103054787036369	0.2304013051079997	nrti	unstructured
round16	-0.12231228655172115	0.5267243025038052	nrti	unstructured
round17	0.04217336780399686	0.3636759572704411	nrti	unstructured
round18	0.09793232361737648	0.40461113872160587	nrti	unstructured
round19	0.011667711575153129	0.7283392421672252	nrti	unstructured
(Intercept)	-3.8623857655267453	0.18908564971443245	pi	independence
round16	-0.1008707922560378	0.42302307887839014	pi	independence
round17	-0.467206980216721	0.38314314000417776	pi	independence
round18	-0.038738950010032275	0.3729878305675165	pi	independence
round19	-0.9350971375123523	1.0140517615071154	pi	independence
(Intercept)	-3.866011202392166	0.18912830172262743	pi	exchangeable
round16	-0.06786860943334852	0.41890470903075244	pi	exchangeable
round17	-0.41354703312694396	0.35777882359650814	pi	exchangeable
round18	-0.07482827903601856	0.3742715787879171	pi	exchangeable
round19	-0.9563227974194345	1.0341960957188996	pi	exchangeable
(Intercept)	-3.8694581864025195	0.18955079854508491	pi	ar1
round16	-0.07106941728054515	0.4215907714285445	pi	ar1
round17	-0.41062404099977773	0.3578558471238654	pi	ar1
round18	-0.03098272327046496	0.358970212734782	pi	ar1
round19	-0.8959186834135783	0.975327257034623	pi	ar1
(Intercept)	-3.870785524428199	0.18987482148743567	pi	unstructured
round16	-0.06984891080083788	0.4236949935347259	pi	unstructured
round17	-0.42104583389586	0.35997670444180474	pi	unstructured
round18	-0.030456814268338454	0.3581013200436335	pi	unstructured
round19	-0.8376229608477653	0.9235719176991444	pi	unstructured
