""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.0330777685122974	0.0217549573907663	0.0502937675353727	3.08177743827276e-57
"round16"	0.54312740499254	0.283763092559022	1.03955512816585	0.0653513003852164
"round17"	9.75187744816773	6.00148678312918	15.8459257181764	3.74975393951232e-20
"round18"	19.2509144738002	11.9115927151345	31.112355580014	1.42631375362083e-33
"round19"	31.3197763817082	11.1890863288254	87.6683192686729	5.43977032215123e-11
"missing_vlTRUE"	12.9541961976665	8.62511098352978	19.4561205586902	5.33419740129751e-35
"log10vl"	1.90129812008589	1.74891011508932	2.06696416828577	2.39871841407961e-51
"comm_typeFishing"	0.892790289813678	0.760092085226154	1.04865517886354	0.167188682056978
"comm_typeTrading"	0.968211318914715	0.849547331422644	1.10345018270466	0.628195611360803
"age_cat(24,34]"	0.99495076772557	0.885486920249835	1.1179465303885	0.932164816540799
"age_cat(34,50]"	0.956653221584082	0.840727508552629	1.0885636274026	0.50133753035181
"sexM"	1.1181140817504	1.023295928038	1.22171804416884	0.0135374220183966
"round16:log10vl"	1.12900992736593	0.985856767584636	1.29294990712876	0.0794209493239403
"round17:log10vl"	0.657195741525496	0.595710021702012	0.72502765933875	5.48335893845229e-17
"round18:log10vl"	0.572687204187554	0.518998143833732	0.631930263598837	1.27782103965715e-28
"round19:log10vl"	0.425412602334864	0.342402419255687	0.528547323405967	1.19005190440536e-14
"round16:comm_typeFishing"	0.864485632158476	0.682329711223257	1.09527021308898	0.227743595171198
"round17:comm_typeFishing"	1.1679022438824	0.976936125485403	1.39619737225689	0.0884158183962782
"round18:comm_typeFishing"	1.14314562478545	0.953070378891592	1.37112845851519	0.149328363871556
"round19:comm_typeFishing"	1.39656076419617	0.97606704318128	1.99820492016136	0.0676349940856656
"round16:comm_typeTrading"	1.09695151273	0.865911367193888	1.38963716942545	0.443172473006964
"round17:comm_typeTrading"	1.08928311869251	0.927016887504229	1.27995264019725	0.298742478199904
"round18:comm_typeTrading"	1.04460405934579	0.888815446189498	1.22769878210359	0.596404499937542
"round19:comm_typeTrading"	0.961003861373793	0.653027510802097	1.4142259036545	0.84008539067258
"round16:age_cat(24,34]"	0.765494465779778	0.615147527790553	0.952587388661316	0.0166043563935075
"round17:age_cat(24,34]"	0.952290072259384	0.824198894439954	1.10028827730956	0.507159993122442
"round18:age_cat(24,34]"	0.909655147209634	0.788794701967065	1.0490340322792	0.192973997961461
"round19:age_cat(24,34]"	0.986743573707136	0.675925300180722	1.44048888241349	0.944881763303541
"round16:age_cat(34,50]"	0.760192409034885	0.595101861605594	0.971081651795036	0.0281727920179108
"round17:age_cat(34,50]"	0.999850018819447	0.85189832785359	1.17349691559092	0.998535253145622
"round18:age_cat(34,50]"	0.940244726331188	0.799149815768013	1.10625082800525	0.457639267191876
"round19:age_cat(34,50]"	1.01815626578867	0.672522003739772	1.54142492855275	0.932231186747581
"round16:sexM"	0.766570395728242	0.639375480405001	0.919068981554829	0.00408349449879348
"round17:sexM"	0.864907496579911	0.772727249916616	0.968084117288282	0.0116001178362687
"round18:sexM"	0.878983179217604	0.782912687625757	0.986842391953681	0.0289440685695385
"round19:sexM"	0.796967722722974	0.593576448722649	1.07005180618112	0.131149409024318
