class	corr	QIC	QICu	Quasi Lik	CIC	params	QICC
nrti	independence	510.7716799535084	499.3652890258491	-244.68264451292455	10.703195463829644	5	510.7970929141183
nrti	exchangeable	510.7847430195264	499.4838106091229	-244.74190530456144	10.650466205201756	5	510.82033623986536
nrti	ar1	511.0786138610127	499.51543368040575	-244.75771684020287	10.781590090303462	5	511.11420708135165
nrti	unstructured	511.7750956201769	499.59255864799997	-244.79627932399998	11.09126848608846	5	511.8871975310049
pi	unstructured	580.5752390362658	571.801605322036	-280.900802661018	9.386816857114882	5	580.6704084666911
pi	ar1	580.9668985314387	571.8115922457458	-280.9057961228729	9.577653142846403	5	580.9971252316906
pi	exchangeable	581.7079516430395	571.8593188809931	-280.92965944049655	9.924316381023196	5	581.7381783432913
pi	independence	582.0697348472074	571.691699134405	-280.8458495672025	10.189017856401232	5	582.0913175810203
nnrti	ar1	1341.7530626261391	1332.1310422016957	-661.0655211008478	9.811010212221719	5	1341.7883419205532
nnrti	exchangeable	1341.887616027247	1332.1957924643743	-661.0978962321872	9.845911781436348	5	1341.9228953216611
nnrti	unstructured	1342.2697775371164	1332.3530907211707	-661.1765453605854	9.958343407972826	5	1342.3808886482275
nnrti	independence	1344.5654823609839	1331.9583142156691	-660.9791571078346	11.303584072657406	5	1344.5906712778606
