""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.173481999821053	0.0914301226815561	0.329169461652523	8.31079072588175e-08
"round18"	3.6151759320066	1.62441806436535	8.04564865785699	0.00164070132263879
"log10vl"	1.49268744392872	1.2735907604822	1.74947547862145	7.57508906537647e-07
"comm_typeFishing"	0.862212435405982	0.717634742341545	1.03591735447906	0.113388729228134
"comm_typeTrading"	0.955744797874325	0.746147092921319	1.22421989890425	0.720080075586148
"age_cat(24,34]"	0.723846485734301	0.562747584415188	0.93106349884095	0.0118675281931289
"age_cat(34,50]"	0.904330469720931	0.70745732088759	1.15599001426635	0.422106088479012
"sexM"	0.99051393117151	0.821155533702068	1.19480148105634	0.920640875255786
"round18:log10vl"	0.696140235676566	0.576884257537744	0.840049319071805	0.000158143232480801
"round18:comm_typeFishing"	1.34393650820119	1.04574891039812	1.72715010277982	0.020918583298151
"round18:comm_typeTrading"	1.15813028263236	0.832377163198912	1.61136779197002	0.383646099977586
"round18:age_cat(24,34]"	1.51697021205761	1.10005570303129	2.09189281772639	0.0110353679563162
"round18:age_cat(34,50]"	1.03325589212856	0.739201083879068	1.44428594857558	0.848165229975643
"round18:sexM"	0.919422997563935	0.728068365305769	1.16107042790471	0.480431936974556
