""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.602240667041993	0.419857868736343	0.863849049991117	0.00586658326409504
"round18"	1.30779830984745	0.737989389553558	2.3175623436463	0.357984433960911
"log10vl"	1.11618014208598	1.02367593222667	1.21704347085421	0.0127707580819612
"comm_typeFishing"	1.0205594998103	0.89720949148904	1.16086789376746	0.756832531997178
"comm_typeTrading"	1.03308323231074	0.894305726585537	1.19339609839736	0.658330824367931
"age_cat(24,34]"	0.843458561700211	0.732851576886854	0.970759111043336	0.017608195136123
"age_cat(34,50]"	0.975299756833825	0.859668645767028	1.10648401609601	0.697695046747445
"sexM"	0.958628124913514	0.844614253836505	1.08803264650218	0.51310709944696
"round18:log10vl"	0.882480830607891	0.776979414616571	1.00230765672821	0.0542942275114564
"round18:comm_typeFishing"	1.10257444476218	0.899998921677177	1.35074651420381	0.345811305698596
"round18:comm_typeTrading"	1.05522106172493	0.822154724251454	1.35435758776633	0.672945639229108
"round18:age_cat(24,34]"	1.33537127269292	1.04998002542018	1.69833367565246	0.0183970482628101
"round18:age_cat(34,50]"	1.00055787363761	0.775612941145751	1.2907418190049	0.996575147646574
"round18:sexM"	0.992689986194641	0.829750187110145	1.18762661822733	0.936075399746191
