round	coefficient	std.err	class	corr
(Intercept)	-0.6449673574310155	0.07638514364629466	nnrti	independence
round18	-0.09589366243554366	0.1029408154079013	nnrti	independence
(Intercept)	-0.7459993003059345	0.06144691342055613	nnrti	exchangeable
round18	0.04931822927045757	0.02590525664474699	nnrti	exchangeable
(Intercept)	-0.7671007310787619	0.08917105242205041	nrti	independence
round18	-0.2395148806287232	0.12693988352089616	nrti	independence
(Intercept)	-0.847768337326724	0.094938762340993	nrti	exchangeable
round18	-0.10010219643313673	0.11669122693024826	nrti	exchangeable
(Intercept)	-3.5319500726484985	0.45055873022977844	pi	independence
round18	-0.29217889644060047	0.6681604118388702	pi	independence
(Intercept)	-3.529309053410157	0.4493073487762212	pi	exchangeable
round18	-0.2915988892286658	0.6641528699352381	pi	exchangeable
