""	"RR"	"LCI"	"UCI"	"P"
"(Intercept)"	0.225121883221463	0.13192132702897	0.384167317343988	4.54032890474409e-08
"round18"	2.79215237939405	1.36414401155312	5.71502337270076	0.00495945159160667
"log10vl"	1.40835939455363	1.24336783779311	1.59524488565507	7.1925990486257e-08
"comm_typeFishing"	0.893234097382063	0.74886289461022	1.06543822436447	0.20938527966562
"comm_typeTrading"	1.04659972969157	0.856347204200034	1.27912018491812	0.656351913222069
"age_cat(24,34]"	0.749409067119418	0.607338463626001	0.924713291708523	0.00714960855557317
"age_cat(34,50]"	0.883362887338022	0.725354933282876	1.07579056117325	0.21742494126147
"sexM"	0.997233960815841	0.836347186322454	1.18907026754919	0.975384401497845
"round18:log10vl"	0.735953249675231	0.627272035870178	0.863464581130521	0.000169461839472256
"round18:comm_typeFishing"	1.29509905351665	1.01290105961638	1.65591845570284	0.0391896705049235
"round18:comm_typeTrading"	1.09111855856696	0.814549030991825	1.46159367153086	0.558764159847266
"round18:age_cat(24,34]"	1.46218853297058	1.09473676303172	1.95297662246199	0.0100842406209497
"round18:age_cat(34,50]"	1.06888092357275	0.792407302196043	1.44181713824625	0.662676069265617
"round18:sexM"	0.92713906115406	0.741798916292313	1.15878686236703	0.506157280127771
