s	var	nnrti_coeff	nnrti_P	nnrti_spacer	nrti_coeff	nrti_P	nrti_spacer	pi_coeff	pi_P	pi_spacer
age_cat	(Intercept)	0 (0, 0.01)	ref	 	0 (0, 0)	ref	 	0 (0, 0)	ref	 
age_cat	round18	0.9 (0.72, 1.12)	0.34	 	0.77 (0.57, 1.02)	0.068	 	0.88 (0.42, 1.82)	0.73	 
age_cat	age_cat(24,34]	3.04 (2.18, 4.25)	<0.0001	 	5.55 (3.3, 9.31)	<0.0001	 	2.81 (1.06, 7.46)	0.039	 
age_cat	age_cat(34,49]	1.99 (1.39, 2.84)	0.00018	 	3.69 (2.16, 6.31)	<0.0001	 	1.44 (0.48, 4.33)	0.51	 
comm_type	(Intercept)	0.01 (0, 0.01)	ref	 	0 (0, 0.01)	ref	 	0 (0, 0)	ref	 
comm_type	round18	0.86 (0.69, 1.08)	0.2	 	0.74 (0.56, 0.98)	0.038	 	0.84 (0.4, 1.73)	0.63	 
comm_type	comm_typeFishing	3.34 (2.48, 4.51)	<0.0001	 	3.19 (2.15, 4.73)	<0.0001	 	5.33 (1.91, 14.87)	0.0014	 
comm_type	comm_typeTrading	1.04 (0.73, 1.48)	0.82	 	1.08 (0.69, 1.69)	0.74	 	1.68 (0.53, 5.34)	0.38	 
pre_treatment	(Intercept)	0.04 (0.04, 0.05)	ref	 	0.04 (0.03, 0.05)	ref	 	0 (0, 0.01)	ref	 
pre_treatment	round18	0.81 (0.65, 1.01)	0.064	 	0.67 (0.5, 0.88)	0.0049	 	0.84 (0.4, 1.75)	0.64	 
pre_treatment	pre_treatmentTRUE	0.08 (0.06, 0.1)	<0.0001	 	0.02 (0.01, 0.04)	<0.0001	 	0.29 (0.13, 0.66)	0.0031	 
sex	(Intercept)	0.01 (0.01, 0.01)	ref	 	0.01 (0.01, 0.01)	ref	 	0 (0, 0)	ref	 
sex	round18	0.89 (0.71, 1.12)	0.33	 	0.76 (0.57, 1.02)	0.065	 	0.87 (0.42, 1.81)	0.71	 
sex	sexM	0.74 (0.57, 0.96)	0.022	 	0.68 (0.48, 0.96)	0.028	 	0.88 (0.4, 1.92)	0.74	 
