s	var	nnrti_coeff	nnrti_P	nnrti_spacer	nrti_coeff	nrti_P	nrti_spacer	pi_coeff	pi_P	pi_spacer
age_cat	(Intercept)	0.05 (0.03, 0.08)	ref	 	0.01 (0.01, 0.04)	ref	 	0.02 (0.01, 0.05)	ref	 
age_cat	round16	1.12 (0.71, 1.76)	0.62	 	0.66 (0.23, 1.93)	0.45	 	0.75 (0.35, 1.64)	0.47	 
age_cat	round17	1.44 (1.01, 2.05)	0.045	 	1.11 (0.56, 2.17)	0.77	 	0.66 (0.34, 1.28)	0.22	 
age_cat	round18	1.97 (1.34, 2.91)	0.00063	 	1.09 (0.5, 2.42)	0.82	 	0.95 (0.49, 1.85)	0.89	 
age_cat	round19	1.7 (0.91, 3.15)	0.094	 	0.97 (0.24, 3.84)	0.96	 	0.4 (0.07, 2.34)	0.31	 
age_cat	age_cat(24,34]	0.94 (0.63, 1.39)	0.76	 	1.73 (0.69, 4.3)	0.24	 	0.92 (0.47, 1.81)	0.81	 
age_cat	age_cat(34,49]	0.91 (0.59, 1.42)	0.68	 	0.79 (0.27, 2.31)	0.66	 	0.66 (0.3, 1.43)	0.29	 
comm_type	(Intercept)	0.06 (0.04, 0.08)	ref	 	0.02 (0.01, 0.03)	ref	 	0.02 (0.01, 0.04)	ref	 
comm_type	round16	1.12 (0.72, 1.76)	0.61	 	0.7 (0.24, 2.07)	0.52	 	0.76 (0.35, 1.64)	0.49	 
comm_type	round17	1.43 (1, 2.05)	0.048	 	1.14 (0.57, 2.25)	0.71	 	0.65 (0.34, 1.26)	0.21	 
comm_type	round18	1.97 (1.34, 2.91)	0.00061	 	1.09 (0.49, 2.4)	0.83	 	0.95 (0.49, 1.83)	0.87	 
comm_type	round19	1.67 (0.89, 3.13)	0.11	 	0.9 (0.24, 3.33)	0.88	 	0.39 (0.07, 2.17)	0.28	 
comm_type	comm_typeFishing	0.83 (0.58, 1.2)	0.32	 	0.79 (0.37, 1.7)	0.55	 	0.97 (0.47, 2.01)	0.94	 
comm_type	comm_typeTrading	0.76 (0.48, 1.2)	0.24	 	1.81 (0.84, 3.9)	0.13	 	1.05 (0.46, 2.37)	0.92	 
sequenced	(Intercept)	0.05 (0.04, 0.07)	ref	 	0.02 (0.01, 0.03)	ref	 			 
sequenced	round16	1.13 (0.73, 1.75)	0.58	 	0.76 (0.29, 1.98)	0.57	 			 
sequenced	round17	1.51 (0.7, 3.28)	0.3	 	4.13 (0.12, 137.63)	0.43	 			 
sequenced	round18	2.08 (0.95, 4.57)	0.069	 	4.07 (0.12, 141.58)	0.44	 			 
sequenced	round19	1.78 (0.7, 4.5)	0.22	 	3.64 (0.09, 152.86)	0.5	 			 
sequenced	sequencedPANGEA2	0.95 (0.44, 2.04)	0.89	 	0.25 (0.01, 8.49)	0.44	 			 
sex	(Intercept)	0.06 (0.04, 0.07)	ref	 	0.03 (0.02, 0.04)	ref	 	0.02 (0.01, 0.03)	ref	 
sex	round16	1.15 (0.73, 1.79)	0.55	 	0.71 (0.24, 2.06)	0.52	 	0.76 (0.35, 1.65)	0.49	 
sex	round17	1.47 (1.03, 2.1)	0.034	 	1.17 (0.59, 2.31)	0.66	 	0.65 (0.34, 1.27)	0.21	 
sex	round18	2.03 (1.38, 3)	0.00034	 	1.17 (0.53, 2.6)	0.7	 	0.95 (0.49, 1.85)	0.89	 
sex	round19	1.73 (0.93, 3.23)	0.083	 	1.01 (0.25, 4.11)	0.98	 	0.39 (0.07, 2.26)	0.3	 
sex	sexM	0.73 (0.53, 1.02)	0.063	 	0.42 (0.21, 0.83)	0.013	 	0.98 (0.54, 1.76)	0.93	 
