s	var	nnrti_coeff	nnrti_P	nnrti_spacer	nrti_coeff	nrti_P	nrti_spacer	pi_coeff	pi_P	pi_spacer
age_cat	(Intercept)	0.48 (0.4, 0.58)	ref	 	0.34 (0.22, 0.51)	ref	 	0.04 (0.01, 0.13)	ref	 
age_cat	round18	0.97 (0.93, 1.01)	0.094	 	0.7 (0.56, 0.89)	0.0036	 	0.66 (0.16, 2.74)	0.57	 
age_cat	age_cat(24,34]	1.1 (0.93, 1.31)	0.27	 	1.62 (1.03, 2.56)	0.037	 	0.82 (0.13, 5.31)	0.84	 
age_cat	age_cat(34,49]	1.09 (0.89, 1.35)	0.41	 	1.56 (0.98, 2.47)	0.061	 	0.8 (0.12, 5.12)	0.81	 
comm_type	(Intercept)	0.52 (0.43, 0.64)	ref	 	0.54 (0.43, 0.69)	ref	 	0.03 (0.01, 0.14)	ref	 
comm_type	round18	1.04 (0.95, 1.14)	0.42	 	0.74 (0.58, 0.94)	0.013	 	0.65 (0.18, 2.3)	0.5	 
comm_type	comm_typeFishing	0.89 (0.69, 1.15)	0.39	 	0.86 (0.63, 1.16)	0.32	 	1.17 (0.24, 5.68)	0.84	 
comm_type	comm_typeTrading	1.08 (0.81, 1.44)	0.59	 	0.94 (0.67, 1.33)	0.73	 	1.29 (0.18, 9.01)	0.8	 
sex	(Intercept)	0.54 (0.46, 0.64)	ref	 	0.54 (0.45, 0.64)	ref	 	0.04 (0.01, 0.09)	ref	 
sex	round18	1.13 (0.89, 1.43)	0.32	 	0.74 (0.58, 0.94)	0.012	 	0.67 (0.18, 2.49)	0.55	 
sex	sexM	0.74 (0.58, 0.93)	0.011	 	0.82 (0.62, 1.09)	0.17	 	0.74 (0.18, 3.04)	0.68	 
