round	s	s_var	nnrti_n	nnrti_y	nnrti_Prev. % (95% CI)	nnrti_Prev. ratio (95% CI)	nnrti_p-value	nnrti_spacer	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer
..	age_cat	(14,24]												
17	age_cat	(14,24]	..	..	ref	ref	ref	 	31	8 (25.81%)	26.43 (14.37, 48.59)	ref	ref	 
18	age_cat	(14,24]	..	..	ref	ref	ref	 	23	8 (34.78%)	35.24 (19.94, 62.28)	1.33 (0.59, 3.01)	0.4900	 
..	age_cat	(24,34]												
17	age_cat	(24,34]	..	..	ref	ref	ref	 	62	33 (53.23%)	54.43 (43.16, 68.64)	ref	ref	 
18	age_cat	(24,34]	..	..	ref	ref	ref	 	97	38 (39.18%)	39.25 (30.57, 50.39)	0.72 (0.52, 0.99)	0.0440	 
..	age_cat	(34,49]												
17	age_cat	(34,49]	..	..	ref	ref	ref	 	59	33 (55.93%)	57.49 (46.01, 71.84)	ref	ref	 
18	age_cat	(34,49]	..	..	ref	ref	ref	 	62	20 (32.26%)	32.68 (22.74, 46.95)	0.57 (0.38, 0.85)	0.0063	 
..	sex	F												
17	sex	F	98	55 (56.12%)	57.03 (43.02, 75.6)	ref	ref	 	..	..	ref	ref	ref	 
18	sex	F	100	57 (57%)	58.17 (44.13, 76.68)	1.02 (0.62, 1.68)	0.9400	 	..	..	ref	ref	ref	 
..	sex	M												
17	sex	M	62	32 (51.61%)	42.27 (34.43, 51.9)	ref	ref	 	..	..	ref	ref	ref	 
18	sex	M	84	30 (35.71%)	43.16 (35.33, 52.71)	1.02 (0.94, 1.11)	0.6200	 	..	..	ref	ref	ref	 
