var	v	n_viremic_participants	n_viremic_sequenced	n_viremic_p	n_viremic_spacer	n_pt_viremic_participants	n_pt_viremic_sequenced	n_pt_viremic_p	n_pt_viremic_spacer	n_t_viremic_participants	n_t_viremic_sequenced	n_t_viremic_p	n_t_viremic_spacer
Overall		4523	2323 (51.36%)			4094	1952 (47.68%)			429	371 (86.48%)		
Age category				0.3900				0.6200				0.9600	
Age category	(14,24]	950	479 (50.42%)			884	420 (47.51%)			66	59 (89.39%)		
Age category	(24,34]	2235	1126 (50.38%)			2034	953 (46.85%)			201	173 (86.07%)		
Age category	(34,49]	1338	718 (53.66%)			1176	579 (49.23%)			162	139 (85.8%)		
Community type				0.0890				0.0120				0.8100	
Community type	Agrarian	1287	706 (54.86%)			1190	618 (51.93%)			97	88 (90.72%)		
Community type	Fishing	2246	1105 (49.2%)			1998	890 (44.54%)			248	215 (86.69%)		
Community type	Trading	990	512 (51.72%)			906	444 (49.01%)			84	68 (80.95%)		
Sex				0.0015				0.0005				0.9200	
Sex	F	2440	1170 (47.95%)			2198	962 (43.77%)			242	208 (85.95%)		
Sex	M	2083	1153 (55.35%)			1896	990 (52.22%)			187	163 (87.17%)		
 Survey round				0.0005				0.0005				0.2000	
 Survey round	15	1971	482 (24.45%)			1969	482 (24.48%)			2	0 (0%)		
 Survey round	16	798	269 (33.71%)			794	267 (33.63%)			4	2 (50%)		
 Survey round	17	948	799 (84.28%)			764	656 (85.86%)			184	143 (77.72%)		
 Survey round	18	635	611 (96.22%)			445	430 (96.63%)			190	181 (95.26%)		
 Survey round	19	171	162 (94.74%)			122	117 (95.9%)			49	45 (91.84%)		
Viral load				0.0005				0.0005				0.0560	
Viral load	(3,4]	1647	656 (39.83%)			1445	504 (34.88%)			202	152 (75.25%)		
Viral load	(4,5]	1696	1090 (64.27%)			1515	916 (60.46%)			181	174 (96.13%)		
Viral load	(5,Inf]	428	356 (83.18%)			382	311 (81.41%)			46	45 (97.83%)		
Viral load	missing	752	221 (29.39%)			752	221 (29.39%)						
				0.0005				0.0005				0.1900	
	PANGEA1	2480	597 (24.07%)			2474	595 (24.05%)			6	2 (33.33%)		
	PANGEA2	2043	1726 (84.48%)			1620	1357 (83.77%)			423	369 (87.23%)		
