s	s_var	15	16	17	18	19
		3498	3388	3615	3636	3323
ageyrs	ageyrs	32 [10]	33 [12]	34 [11]	34 [11]	36 [12]
age_cat	(14,24]	531 (15.18%)	478 (14.11%)	453 (12.53%)	372 (10.23%)	264 (7.94%)
age_cat	(24,34]	1663 (47.54%)	1469 (43.36%)	1481 (40.97%)	1453 (39.96%)	1205 (36.26%)
age_cat	(34,49]	1304 (37.28%)	1441 (42.53%)	1681 (46.5%)	1811 (49.81%)	1854 (55.79%)
comm_type	Agrarian	1091 (31.19%)	1081 (31.91%)	1141 (31.56%)	1072 (29.48%)	1067 (32.11%)
comm_type	Fishing	1599 (45.71%)	1519 (44.83%)	1597 (44.18%)	1736 (47.74%)	1500 (45.14%)
comm_type	Trading	808 (23.1%)	788 (23.26%)	877 (24.26%)	828 (22.77%)	756 (22.75%)
sex	F	2169 (62.01%)	2103 (62.07%)	2297 (63.54%)	2242 (61.66%)	2125 (63.95%)
sex	M	1329 (37.99%)	1285 (37.93%)	1318 (36.46%)	1394 (38.34%)	1198 (36.05%)
