var_type	Variable	all_R18_nnrti_probs_Coefficient (95% CI)	all_R18_nnrti_probs_p-value	spacer.x	all_R18_nrti_probs_Coefficient (95% CI)	all_R18_nrti_probs_p-value	spacer.y	all_R18_pi_probs_Coefficient (95% CI)	all_R18_pi_probs_p-value	spacer.x.x	all_R18_nnrti_nrti_pi_probs_Coefficient (95% CI)	all_R18_nnrti_nrti_pi_probs_p-value	spacer.y.y	all_R18_insti_nnrti_nrti_pi_probs_Coefficient (95% CI)	all_R18_insti_nnrti_nrti_pi_probs_p-value	spacer
	(Intercept)	0.76 (0.62, 0.92)	0.0049		0.64 (0.51, 0.79)	<0.0001		0.76 (0.62, 0.92)	0.0048		0.63 (0.51, 0.79)	<0.0001		0.63 (0.51, 0.79)	<0.0001	
Age category																
Age category	age_cat(14,24]	ref	ref		ref	ref		ref	ref		ref	ref		ref	ref	
Age category	age_cat(24,34]	0.98 (0.91, 1.05)	0.5		0.94 (0.88, 1.02)	0.14		0.96 (0.9, 1.04)	0.31		0.95 (0.88, 1.02)	0.15		0.95 (0.88, 1.02)	0.15	
Age category	age_cat(34,49]	0.93 (0.86, 1.02)	0.12		0.9 (0.82, 0.98)	0.021		0.93 (0.86, 1.01)	0.1		0.9 (0.82, 0.98)	0.018		0.9 (0.82, 0.98)	0.018	
Community type																
Community type	comm_typeAgrarian	ref	ref		ref	ref		ref	ref		ref	ref		ref	ref	
Community type	comm_typeFishing	1.03 (0.96, 1.11)	0.44		1.05 (0.97, 1.14)	0.2		1.04 (0.97, 1.12)	0.3		1.05 (0.97, 1.14)	0.19		1.05 (0.97, 1.14)	0.19	
Community type	comm_typeTrading	1.03 (0.94, 1.11)	0.55		1.04 (0.95, 1.13)	0.42		1.04 (0.96, 1.13)	0.36		1.03 (0.94, 1.13)	0.53		1.03 (0.94, 1.13)	0.53	
Sex																
Sex	sexF	ref	ref		ref	ref		ref	ref		ref	ref		ref	ref	
Sex	sexM	0.97 (0.92, 1.04)	0.42		0.97 (0.91, 1.04)	0.36		0.97 (0.91, 1.03)	0.37		0.97 (0.9, 1.03)	0.3		0.97 (0.9, 1.03)	0.3	
Treatment																
Treatment	pre_treatmentFALSE	ref	ref		ref	ref		ref	ref		ref	ref		ref	ref	
Treatment	pre_treatmentTRUE	1.07 (0.99, 1.15)	0.089		1.04 (0.97, 1.13)	0.26		1.06 (0.99, 1.14)	0.12		1.05 (0.97, 1.14)	0.2		1.05 (0.97, 1.14)	0.2	
Viral load	log10vl	1.02 (0.98, 1.07)	0.26		1.07 (1.02, 1.12)	0.0053		1.03 (0.98, 1.07)	0.24		1.07 (1.02, 1.12)	0.0052		1.07 (1.02, 1.12)	0.0052	
