round	survey start date	survey median date	survey end date
1	1994-05-04	1995-03-20	1995-07-24
2	1995-01-04	1996-01-10	1996-05-08
3	1995-10-18	1996-11-20	1997-04-23
4	1997-06-06	1997-11-21	1998-05-12
5	1997-07-23	1998-08-06	1999-03-15
6	1999-04-06	1999-09-07	2000-02-10
7	2000-03-20	2000-08-08	2001-02-19
8	2001-04-03	2001-10-23	2002-05-31
9	2002-07-15	2003-01-28	2003-08-01
10	2003-09-26	2004-04-23	2004-11-23
11	2004-12-07	2005-10-13	2006-06-30
12	2006-03-27	2007-06-28	2008-04-24
13	2008-06-17	2009-03-17	2009-12-07
14	2010-01-18	2010-09-24	2011-06-21
15	2011-08-10	2012-04-02	2013-05-30
16	2013-07-08	2014-04-07	2015-01-30
17	2015-02-23	2015-11-03	2016-09-02
18	2016-10-03	2017-07-17	2018-05-21
19	2018-06-19	2019-06-20	2020-11-05
