class	round	independence_coefficient	independence_std.err	exchangeable_coefficient	exchangeable_std.err	ar1_coefficient	ar1_std.err	unstructured_coefficient	unstructured_std.err
nnrti	(Intercept)	-3.001	0.149	-2.978	0.141	-2.979	0.141	-2.975	0.14
nnrti	round16	0.39	0.243	0.379	0.219	0.373	0.218	0.391	0.216
nnrti	round17	0.363	0.2	0.368	0.177	0.366	0.177	0.353	0.175
nnrti	round18	0.675	0.207	0.642	0.197	0.666	0.195	0.603	0.202
nnrti	round19	0.568	0.34	0.572	0.317	0.569	0.319	0.557	0.319
nrti	(Intercept)	-4.088	0.227	-4.098	0.229	-4.101	0.23	-4.103	0.23
nrti	round16	-0.123	0.503	-0.123	0.515	-0.121	0.518	-0.122	0.527
nrti	round17	0.1	0.35	0.065	0.353	0.062	0.357	0.042	0.364
nrti	round18	0.051	0.418	0.108	0.397	0.106	0.4	0.098	0.405
nrti	round19	-0.018	0.745	0.019	0.717	0.016	0.723	0.012	0.728
pi	(Intercept)	-3.862	0.189	-3.866	0.189	-3.869	0.19	-3.871	0.19
pi	round16	-0.101	0.423	-0.068	0.419	-0.071	0.422	-0.07	0.424
pi	round17	-0.467	0.383	-0.414	0.358	-0.411	0.358	-0.421	0.36
pi	round18	-0.039	0.373	-0.075	0.374	-0.031	0.359	-0.03	0.358
pi	round19	-0.935	1.014	-0.956	1.034	-0.896	0.975	-0.838	0.924
