var	v	n_viremic_participants	n_viremic_sequenced	n_viremic_p	viremic_spacer	n_pretreat_participants	n_pretreat_sequenced	n_pretreat_p	pretreat_spacer	n_treat_participants	n_treat_sequenced	n_treat_p
Overall		5953	2336 (39.24%)			5177	1965 (37.96%)			776	371 (47.81%)	
Age category				0.43				0.4				0.8
Age category	(14,24]	1146	479 (41.8%)			1032	420 (40.7%)			114	59 (51.75%)	
Age category	(24,34]	2931	1132 (38.62%)			2573	959 (37.27%)			358	173 (48.32%)	
Age category	(34,50]	1876	725 (38.65%)			1572	586 (37.28%)			304	139 (45.72%)	
Community type				0.84				0.29				0.19
Community type	Agrarian	1794	714 (39.8%)			1590	626 (39.37%)			204	88 (43.14%)	
Community type	Fishing	2861	1106 (38.66%)			2455	891 (36.29%)			406	215 (52.96%)	
Community type	Trading	1298	516 (39.75%)			1132	448 (39.58%)			166	68 (40.96%)	
Sex				0.014				0.0081				0.76
Sex	F	3188	1180 (37.01%)			2744	972 (35.42%)			444	208 (46.85%)	
Sex	M	2765	1156 (41.81%)			2433	993 (40.81%)			332	163 (49.1%)	
Survey round				<1e-4				<1e-4				<1e-4
Survey round	15	2281	494 (21.66%)			2246	494 (21.99%)			35	0 (0%)	
Survey round	16	1465	269 (18.36%)			1319	267 (20.24%)			146	2 (1.37%)	
Survey round	17	1026	799 (77.88%)			822	656 (79.81%)			204	143 (70.1%)	
Survey round	18	728	612 (84.07%)			502	431 (85.86%)			226	181 (80.09%)	
Survey round	19	453	162 (35.76%)			288	117 (40.62%)			165	45 (27.27%)	
Viral load				<1e-4				<1e-4				0.35
Viral load	(3,4]	2101	656 (31.22%)			1748	504 (28.83%)			353	152 (43.06%)	
Viral load	(4,5]	2231	1091 (48.9%)			1898	917 (48.31%)			333	174 (52.25%)	
Viral load	(5,Inf]	598	356 (59.53%)			508	311 (61.22%)			90	45 (50%)	
Viral load	missing	1023	233 (22.78%)			1023	233 (22.78%)					
