s	s_var	15_Prev. (95% CI)	15_Prev. ratio (95% CI)	15_p-value	15_spacer	16_Prev. (95% CI)	16_Prev. ratio (95% CI)	16_p-value	16_spacer	17_Prev. (95% CI)	17_Prev. ratio (95% CI)	17_p-value	17_spacer	18_Prev. (95% CI)	18_Prev. ratio (95% CI)	18_p-value	18_spacer	19_Prev. (95% CI)	19_Prev. ratio (95% CI)	19_p-value
age_cat																				
age_cat	(14,24]	3.64 (1.59, 8.32)	ref	ref		7.98 (3.97, 16.04)	2.19 (0.74, 6.47)	0.16		11.05 (6.84, 17.84)	3.04 (1.17, 7.89)	0.023		7.45 (3.83, 14.52)	2.05 (0.71, 5.93)	0.19		8.06 (2.12, 30.58)	2.21 (0.46, 10.63)	0.32
age_cat	(24,34]	4.52 (3.02, 6.77)	1.24 (0.5, 3.12)	0.64		7.27 (4.24, 12.46)	0.73 (0.2, 2.62)	0.63		7 (4.75, 10.31)	0.51 (0.17, 1.54)	0.23		11.31 (7.76, 16.49)	1.22 (0.37, 4.04)	0.74		5.61 (1.84, 17.18)	0.56 (0.08, 4.02)	0.56
age_cat	(34,50]	6.72 (4.16, 10.88)	1.85 (0.71, 4.81)	0.21		6.74 (3.02, 15.01)	0.46 (0.11, 1.91)	0.28		4.95 (2.78, 8.82)	0.24 (0.07, 0.82)	0.022		9.23 (5.26, 16.2)	0.67 (0.18, 2.45)	0.54		13.91 (6.09, 31.75)	0.93 (0.15, 5.87)	0.94
comm_type																				
comm_type	Agrarian	6.43 (4.21, 9.81)	ref	ref		9.27 (5.15, 16.66)	1.44 (0.7, 2.97)	0.32		7.24 (4.44, 11.81)	1.13 (0.59, 2.15)	0.72		9.7 (5.79, 16.28)	1.51 (0.77, 2.94)	0.23		7.7 (2.57, 23.05)	1.2 (0.37, 3.88)	0.76
comm_type	Fishing	4.97 (3.18, 7.76)	0.77 (0.42, 1.43)	0.41		7.56 (4.3, 13.29)	1.05 (0.38, 2.92)	0.92		7.59 (5.27, 10.92)	1.36 (0.57, 3.22)	0.49		10.17 (6.71, 15.41)	1.35 (0.55, 3.35)	0.51		10.8 (4.69, 24.86)	1.81 (0.4, 8.19)	0.44
comm_type	Trading	2.84 (1.24, 6.48)	0.44 (0.17, 1.12)	0.084		4.25 (1.71, 10.54)	1.04 (0.25, 4.32)	0.96		5.81 (2.96, 11.4)	1.82 (0.52, 6.33)	0.35		9.14 (5.06, 16.5)	2.13 (0.63, 7.2)	0.22		6.25 (1.61, 24.28)	1.84 (0.26, 13.27)	0.55
sex																				
sex	F	5.9 (4.1, 8.49)	ref	ref		8.13 (4.94, 13.39)	1.38 (0.74, 2.56)	0.31		9.04 (6.41, 12.73)	1.53 (0.93, 2.53)	0.095		10.67 (7.19, 15.85)	1.81 (1.06, 3.1)	0.031		10.59 (4.95, 22.62)	1.79 (0.77, 4.17)	0.17
sex	M	4 (2.47, 6.47)	0.68 (0.37, 1.24)	0.21		6.44 (3.62, 11.47)	1.17 (0.44, 3.09)	0.76		5.42 (3.53, 8.3)	0.88 (0.39, 2)	0.77		8.96 (5.96, 13.48)	1.24 (0.54, 2.83)	0.61		6.64 (2.53, 17.41)	0.92 (0.24, 3.63)	0.91
