s	s_var	15_Prev. (95% CI)	15_Prev. ratio (95% CI)	15_p-value	15_spacer	16_Prev. (95% CI)	16_Prev. ratio (95% CI)	16_p-value	16_spacer	17_Prev. (95% CI)	17_Prev. ratio (95% CI)	17_p-value	17_spacer	18_Prev. (95% CI)	18_Prev. ratio (95% CI)	18_p-value	18_spacer	19_Prev. (95% CI)	19_Prev. ratio (95% CI)	19_p-value	19_spacer
age_cat																					
age_cat	(14,24]	6.02 (2.99, 12.11)	ref	ref		9.45 (4.31, 20.69)	1.57 (0.549, 4.49)	0.4		11.51 (6.97, 19.01)	1.913 (0.809, 4.524)	0.14		9.26 (5.12, 16.72)	1.538 (0.615, 3.845)	0.36		40.73 (24.7, 67.16)	6.768 (2.864, 15.996)	<0.0001	
age_cat	(24,34]	8.21 (5.13, 13.14)	1.364 (0.587, 3.17)	0.47		7.45 (3.84, 14.43)	0.578 (0.153, 2.181)	0.42		7.61 (5.21, 11.13)	0.485 (0.169, 1.388)	0.18		10.42 (7.01, 15.48)	0.825 (0.274, 2.487)	0.73		18.94 (11.02, 32.55)	0.341 (0.111, 1.045)	0.06	
age_cat	(34,50]	8.47 (4.83, 14.85)	1.407 (0.574, 3.451)	0.46		15.41 (7.48, 31.73)	1.159 (0.288, 4.669)	0.84		10.55 (7.13, 15.61)	0.652 (0.217, 1.957)	0.45		11.26 (6.74, 18.81)	0.864 (0.263, 2.843)	0.81		10.53 (4.14, 26.75)	0.184 (0.046, 0.735)	0.017	
comm_type																					
comm_type	Agrarian	7.66 (4.59, 12.78)	ref	ref		11.27 (5.48, 23.19)	1.472 (0.608, 3.565)	0.39		9.05 (5.73, 14.31)	1.182 (0.595, 2.349)	0.63		9.91 (5.91, 16.64)	1.294 (0.625, 2.681)	0.49		26.39 (15.89, 43.83)	3.446 (1.676, 7.083)	0.00077	
comm_type	Fishing	6.38 (3.48, 11.69)	0.833 (0.377, 1.841)	0.65		7.75 (3.88, 15.49)	0.826 (0.231, 2.959)	0.77		9.11 (6.48, 12.81)	1.209 (0.455, 3.212)	0.7		10.26 (6.77, 15.55)	1.243 (0.442, 3.497)	0.68		22.88 (13.24, 39.54)	1.042 (0.351, 3.095)	0.94	
comm_type	Trading	11.62 (7.07, 19.1)	1.518 (0.744, 3.097)	0.25		10.82 (5.38, 21.79)	0.633 (0.184, 2.169)	0.47		10.25 (6.2, 16.94)	0.746 (0.278, 1.998)	0.56		10.97 (6.42, 18.73)	0.729 (0.26, 2.044)	0.55		9.29 (3.07, 28.13)	0.232 (0.056, 0.952)	0.043	
sex																					
sex	F	7.76 (4.87, 12.38)	ref	ref		11.45 (6.83, 19.18)	1.475 (0.736, 2.959)	0.27		11.08 (8.03, 15.28)	1.428 (0.81, 2.517)	0.22		8.46 (5.36, 13.35)	1.09 (0.568, 2.094)	0.8		18.62 (10.89, 31.84)	2.399 (1.178, 4.885)	0.016	
sex	M	7.9 (5.04, 12.39)	1.019 (0.533, 1.947)	0.96		8.98 (4.34, 18.56)	0.77 (0.256, 2.317)	0.64		7.76 (5.42, 11.12)	0.688 (0.307, 1.543)	0.36		11.97 (8.45, 16.95)	1.389 (0.584, 3.3)	0.46		23.7 (14.68, 38.26)	1.25 (0.475, 3.29)	0.65	
subtype																					
subtype	A1	11.62 (6.84, 19.74)	ref	ref		21.3 (10.91, 41.6)	1.833 (0.781, 4.305)	0.16		13.16 (9.34, 18.55)	1.132 (0.602, 2.13)	0.7		14.21 (9.46, 21.35)	1.223 (0.627, 2.386)	0.56		27.99 (16.53, 47.38)	2.409 (1.141, 5.084)	0.021	
subtype	D	6.1 (3.19, 11.69)	0.525 (0.227, 1.215)	0.13		4.57 (1.87, 11.17)	0.408 (0.101, 1.65)	0.21		6.79 (4.52, 10.21)	0.982 (0.364, 2.653)	0.97		8.57 (5.51, 13.35)	1.148 (0.409, 3.223)	0.79		17.41 (10.11, 29.99)	1.184 (0.383, 3.664)	0.77	
subtype	other (recombinant)	8.49 (4.37, 16.5)	0.731 (0.312, 1.71)	0.47		11.25 (5.2, 24.34)	0.723 (0.191, 2.729)	0.63		9.75 (5.35, 17.79)	1.014 (0.339, 3.034)	0.98		10.38 (5.14, 20.97)	1 (0.309, 3.239)	1		18.96 (5.49, 65.41)	0.927 (0.189, 4.552)	0.93	
