Variable	gen_Coefficient (95% CI)	gen_p-value	gen_spacer	nnrti_Coefficient (95% CI)	nnrti_p-value	nnrti_spacer	nrti_Coefficient (95% CI)	nrti_p-value	nrti_spacer	pi_Coefficient (95% CI)	pi_p-value
(Intercept)	0.6 (0.42, 0.86)	0.0059		0.36 (0.22, 0.61)	0.00015		0.23 (0.13, 0.38)	<0.0001		0.29 (0.18, 0.47)	<0.0001
round 18	1.31 (0.74, 2.32)	0.36		1.93 (0.96, 3.89)	0.067		2.79 (1.36, 5.72)	0.005		2.43 (1.25, 4.75)	0.0091
log10 VL	1.12 (1.02, 1.22)	0.013		1.26 (1.1, 1.44)	0.00078		1.41 (1.24, 1.6)	<0.0001		1.34 (1.2, 1.51)	<0.0001
Fishing community	1.02 (0.9, 1.16)	0.76		0.98 (0.84, 1.16)	0.83		0.89 (0.75, 1.07)	0.21		0.95 (0.81, 1.11)	0.51
Trading community	1.03 (0.89, 1.19)	0.66		1.06 (0.87, 1.29)	0.59		1.05 (0.86, 1.28)	0.66		0.99 (0.81, 1.2)	0.89
(24,34] years old	0.84 (0.73, 0.97)	0.018		0.75 (0.62, 0.91)	0.0028		0.75 (0.61, 0.92)	0.0071		0.73 (0.61, 0.88)	0.00072
(34,50] years old	0.98 (0.86, 1.11)	0.7		0.86 (0.72, 1.04)	0.13		0.88 (0.73, 1.08)	0.22		0.87 (0.73, 1.04)	0.12
Male	0.96 (0.84, 1.09)	0.51		1.01 (0.86, 1.19)	0.91		1 (0.84, 1.19)	0.98		0.95 (0.8, 1.12)	0.53
round 18 & log10 VL	0.88 (0.78, 1)	0.054		0.81 (0.68, 0.95)	0.01		0.74 (0.63, 0.86)	0.00017		0.75 (0.65, 0.87)	0.00021
round 18 & Fishing community	1.1 (0.9, 1.35)	0.35		1.17 (0.93, 1.47)	0.19		1.3 (1.01, 1.66)	0.039		1.21 (0.96, 1.52)	0.11
round 18 & Trading community	1.06 (0.82, 1.35)	0.67		1.02 (0.76, 1.37)	0.87		1.09 (0.81, 1.46)	0.56		1.13 (0.85, 1.51)	0.41
round 18 & (24,34] years old	1.34 (1.05, 1.7)	0.018		1.49 (1.13, 1.96)	0.0042		1.46 (1.09, 1.95)	0.01		1.52 (1.16, 1.98)	0.0025
round 18 & (34,50] years old	1 (0.78, 1.29)	1		1.1 (0.82, 1.47)	0.54		1.07 (0.79, 1.44)	0.66		1.12 (0.84, 1.49)	0.42
round 18 & Male	0.99 (0.83, 1.19)	0.94		0.92 (0.75, 1.14)	0.44		0.93 (0.74, 1.16)	0.51		0.99 (0.8, 1.23)	0.96
