Variable	nnrti_Coefficient (95% CI)	nnrti_p-value	nnrti_spacer	nrti_spacer	pi_spacer
(Intercept)	0.02 (0, 0.18)	8e-04			
Survey round					
round 15	ref	ref			
round 16	4.17 (0.27, 63.81)	0.3			
round 17	10.47 (0.82, 133.81)	0.071			
round 18	38.71 (3.31, 452.56)	0.0036			
round 19	149.98 (6.49, 3466.65)	0.0018			
Age category					
(14,24] years old	ref	ref			
(24,34] years old	1.68 (0.97, 2.91)	0.065			
(34,50] years old	1.48 (0.83, 2.62)	0.18			
(24,34] years old × round 16	0.59 (0.27, 1.29)	0.19			
(24,34] years old × round 17	0.64 (0.35, 1.19)	0.16			
(24,34] years old × round 18	0.53 (0.3, 0.94)	0.03			
(24,34] years old × round 19	0.9 (0.38, 2.1)	0.8			
(34,50] years old × round 16	0.72 (0.31, 1.64)	0.43			
(34,50] years old × round 17	0.74 (0.39, 1.4)	0.35			
(34,50] years old × round 18	0.6 (0.33, 1.08)	0.089			
(34,50] years old × round 19	0.8 (0.3, 2.08)	0.64			
Sex					
Female	ref	ref			
Male	0.69 (0.47, 1.02)	0.066			
Male × round 16	1.44 (0.81, 2.58)	0.22			
Male × round 17	1.22 (0.78, 1.92)	0.38			
Male × round 18	1.3 (0.84, 2.01)	0.24			
Male × round 19	1.29 (0.66, 2.5)	0.45			
Viral load					
missing_vlTRUE	28.45 (2.61, 310.31)	0.006			
log10 VL	2.15 (1.31, 3.52)	0.0023			
log10 VL × round 16	0.74 (0.43, 1.29)	0.29			
log10 VL × round 17	0.66 (0.39, 1.11)	0.12			
log10 VL × round 18	0.52 (0.31, 0.87)	0.013			
log10 VL × round 19	0.32 (0.16, 0.62)	0.00078			
